AverageTemperature,AverageTemperatureUncertainty,City,Year,Month
26.448,0.644,1,1914,6
27.157,0.632,1,1914,7
27.451,0.665,1,1914,8
26.493,0.711,1,1914,9
27.054,0.607,1,1914,10
26.851,0.777,1,1914,11
26.542,1.632,1,1914,12
24.669,1.218,1,1915,1
24.508,0.913,1,1915,2
23.112,2.379,1,1915,3
24.295,1.063,1,1915,4
26.97,1.449,1,1915,5
28.086,0.782,1,1915,6
27.461,1.203,1,1915,7
27.214,0.869,1,1915,8
26.551,0.831,1,1915,9
26.25,1.279,1,1915,10
26.949,0.847,1,1915,11
25.733,1.315,1,1915,12
26.036,2.286,1,1916,1
24.566,2.082,1,1916,2
24.309,3.056,1,1916,3
24.036,0.983,1,1916,4
26.396,0.768,1,1916,5
27.76,0.75,1,1916,6
26.764,0.791,1,1916,7
26.321,0.93,1,1916,8
26.258,0.745,1,1916,9
26.545,0.714,1,1916,10
26.225,0.905,1,1916,11
26.219,0.892,1,1916,12
25.663,0.96,1,1917,1
24.762,0.911,1,1917,2
24.44,0.786,1,1917,3
24.155,0.737,1,1917,4
26.326,0.819,1,1917,5
26.944,1.069,1,1917,6
27.116,0.701,1,1917,7
27.066,0.75,1,1917,8
26.872,0.653,1,1917,9
26.515,0.635,1,1917,10
25.171,0.991,1,1917,11
25.662,0.79,1,1917,12
24.651,0.992,1,1918,1
25.149,0.869,1,1918,2
23.321,1.071,1,1918,3
24.278,0.852,1,1918,4
26.143,1.117,1,1918,5
26.517,0.763,1,1918,6
27.023,0.778,1,1918,7
26.657,0.9,1,1918,8
26.772,0.736,1,1918,9
27.473,0.675,1,1918,10
27.039,0.812,1,1918,11
26.208,0.813,1,1918,12
23.738,0.772,1,1919,1
24.996,0.932,1,1919,2
23.821,0.944,1,1919,3
24.288,0.895,1,1919,4
26.784,0.763,1,1919,5
27.37,0.738,1,1919,6
27.222,0.679,1,1919,7
27.933,0.905,1,1919,8
27.121,0.856,1,1919,9
27.804,0.915,1,1919,10
27.036,0.978,1,1919,11
26.415,0.763,1,1919,12
25.014,0.985,1,1920,1
25.508,1.008,1,1920,2
25.18,0.914,1,1920,3
25.506,0.944,1,1920,4
25.391,0.966,1,1920,5
26.408,0.986,1,1920,6
27.66,0.689,1,1920,7
27.233,0.676,1,1920,8
27.12,0.636,1,1920,9
26.804,0.766,1,1920,10
26.877,1.118,1,1920,11
25.868,1.037,1,1920,12
24.753,1.189,1,1921,1
24.046,0.818,1,1921,2
24.468,1.132,1,1921,3
25.092,0.645,1,1921,4
26.02,0.748,1,1921,5
27.699,0.68,1,1921,6
27.169,0.758,1,1921,7
27.292,0.677,1,1921,8
26.856,0.743,1,1921,9
26.658,0.832,1,1921,10
26.94,0.77,1,1921,11
26.399,0.844,1,1921,12
25.516,0.825,1,1922,1
25.335,0.902,1,1922,2
25.042,0.656,1,1922,3
25.345,0.632,1,1922,4
26.812,0.621,1,1922,5
26.814,0.5,1,1922,6
27.74,0.575,1,1922,7
27.313,0.557,1,1922,8
26.808,0.628,1,1922,9
26.402,0.531,1,1922,10
27.036,0.765,1,1922,11
26.143,0.781,1,1922,12
25.392,0.614,1,1923,1
24.678,0.796,1,1923,2
24.487,0.848,1,1923,3
24.89,0.684,1,1923,4
26.775,0.661,1,1923,5
27.076,0.648,1,1923,6
27.287,0.59,1,1923,7
27.614,0.572,1,1923,8
27.679,0.548,1,1923,9
26.288,0.499,1,1923,10
26.96,0.686,1,1923,11
26.362,0.651,1,1923,12
25.296,0.737,1,1924,1
24.537,0.793,1,1924,2
24.759,0.888,1,1924,3
25.205,0.725,1,1924,4
26.054,0.909,1,1924,5
26.592,0.688,1,1924,6
27.458,0.589,1,1924,7
27.462,0.72,1,1924,8
26.581,0.545,1,1924,9
26.554,0.499,1,1924,10
25.924,0.588,1,1924,11
26.037,0.638,1,1924,12
24.771,0.778,1,1925,1
24.338,0.705,1,1925,2
24.148,0.804,1,1925,3
24.965,0.703,1,1925,4
25.823,0.654,1,1925,5
26.666,0.583,1,1925,6
27.444,0.458,1,1925,7
